Region,Homes Sold
"Boston, MA",414
"Washington, DC",691
"Seattle, WA",933
"Seattle, WA",1145
"San Jose, CA",660
"Boston, MA",358
"Washington, DC",607
"Chicago, IL",2366
"San Jose, CA",659
"San Jose, CA",703
"San Diego, CA",1188
"Boston, MA",492
"Boston, MA",420
"San Francisco, CA",562
"Seattle, WA",1184
"San Francisco, CA",350
"Seattle, WA",836
"Washington, DC",738
"Los Angeles, CA",2541
"Los Angeles, CA",2319
"Washington, DC",828
"San Jose, CA",949
"San Francisco, CA",504
"San Francisco, CA",496
"Seattle, WA",1104
"Washington, DC",631
"Seattle, WA",1145
"Los Angeles, CA",2043
"Boston, MA",607
"Chicago, IL",2979
"Los Angeles, CA",2377
"Chicago, IL",2140
"Seattle, WA",1085
"Seattle, WA",701
"Chicago, IL",2454
"Chicago, IL",3343
"San Francisco, CA",442
"Seattle, WA",748
"Chicago, IL",3014
"San Francisco, CA",490
"San Jose, CA",667
"Seattle, WA",919
"Los Angeles, CA",1785
"San Francisco, CA",437
"Chicago, IL",2922
"San Francisco, CA",313
"San Diego, CA",1160
"San Francisco, CA",528
"San Diego, CA",1525
"Los Angeles, CA",2602
"Washington, DC",937
"Los Angeles, CA",2715
"San Francisco, CA",540
"Los Angeles, CA",1801
"Boston, MA",537
"San Diego, CA",1111
"San Francisco, CA",277
"Los Angeles, CA",2379
"Boston, MA",468
"Washington, DC",801
"Boston, MA",610
"Seattle, WA",889
"San Francisco, CA",629
"San Diego, CA",1346
"Seattle, WA",754
"Boston, MA",820
"Washington, DC",595
"Boston, MA",419
"Chicago, IL",2286
"Los Angeles, CA",2448
"Los Angeles, CA",2374
"San Jose, CA",647
"San Francisco, CA",485
"Chicago, IL",2563
"Chicago, IL",2136
"Chicago, IL",2503
"San Jose, CA",814
"Seattle, WA",1016
"Los Angeles, CA",2699
"San Diego, CA",1352
"Washington, DC",716
"San Jose, CA",924
"Los Angeles, CA",3135
"San Diego, CA",1382
"San Francisco, CA",463
"San Jose, CA",649
"Boston, MA",604
"San Diego, CA",1501
"San Diego, CA",992
"San Diego, CA",1528
"Washington, DC",569
"San Jose, CA",822
"San Diego, CA",1658
"Seattle, WA",794
"San Diego, CA",1046
"Seattle, WA",968
"San Jose, CA",678
"San Francisco, CA",652
"San Francisco, CA",526
"San Diego, CA",1562
"San Diego, CA",1626
"Los Angeles, CA",2590
"San Diego, CA",1347
"Los Angeles, CA",2572
"Chicago, IL",3005
"San Francisco, CA",332
"San Francisco, CA",633
"San Francisco, CA",654
"San Diego, CA",1244
"Washington, DC",760
"San Diego, CA",934
"San Jose, CA",921
"San Diego, CA",1487
"Chicago, IL",2799
"Seattle, WA",764
"Washington, DC",853
"Boston, MA",414
"San Francisco, CA",572
"San Francisco, CA",510
"San Francisco, CA",568
"Los Angeles, CA",2622
"Boston, MA",269
"Washington, DC",905
