iso_code,date,daily_vaccinations_per_million
AFG,2021-02-22,
AFG,2021-02-23,34.0
AFG,2021-02-24,34.0
AFG,2021-02-25,34.0
AFG,2021-02-26,34.0
AFG,2021-02-27,34.0
AFG,2021-02-28,34.0
AFG,2021-03-01,40.0
AFG,2021-03-02,45.0
AFG,2021-03-03,50.0
AFG,2021-03-04,56.0
AFG,2021-03-05,61.0
AFG,2021-03-06,66.0
AFG,2021-03-07,72.0
AFG,2021-03-08,72.0
AFG,2021-03-09,72.0
AFG,2021-03-10,72.0
AFG,2021-03-11,72.0
AFG,2021-03-12,72.0
AFG,2021-03-13,72.0
AFG,2021-03-14,72.0
AFG,2021-03-15,72.0
AFG,2021-03-16,72.0
AFG,2021-03-17,72.0
AFG,2021-03-18,73.0
AFG,2021-03-19,73.0
AFG,2021-03-20,74.0
AFG,2021-03-21,74.0
AFG,2021-03-22,75.0
AFG,2021-03-23,75.0
AFG,2021-03-24,75.0
AFG,2021-03-25,75.0
AFG,2021-03-26,75.0
AFG,2021-03-27,75.0
AFG,2021-03-28,75.0
AFG,2021-03-29,75.0
AFG,2021-03-30,75.0
AFG,2021-03-31,75.0
AFG,2021-04-01,75.0
AFG,2021-04-02,75.0
AFG,2021-04-03,75.0
AFG,2021-04-04,75.0
AFG,2021-04-05,75.0
AFG,2021-04-06,75.0
AFG,2021-04-07,75.0
AFG,2021-04-08,93.0
AFG,2021-04-09,111.0
AFG,2021-04-10,129.0
AFG,2021-04-11,147.0
AFG,2021-04-12,165.0
AFG,2021-04-13,183.0
AFG,2021-04-14,201.0
AFG,2021-04-15,201.0
AFG,2021-04-16,201.0
AFG,2021-04-17,201.0
AFG,2021-04-18,201.0
AFG,2021-04-19,201.0
AFG,2021-04-20,201.0
AFG,2021-04-21,201.0
AFG,2021-04-22,201.0
AFG,2021-04-23,222.0
AFG,2021-04-24,243.0
AFG,2021-04-25,265.0
AFG,2021-04-26,286.0
AFG,2021-04-27,307.0
AFG,2021-04-28,328.0
AFG,2021-04-29,349.0
AFG,2021-04-30,349.0
AFG,2021-05-01,349.0
AFG,2021-05-02,349.0
AFG,2021-05-03,349.0
AFG,2021-05-04,349.0
AFG,2021-05-05,349.0
AFG,2021-05-06,349.0
AFG,2021-05-07,349.0
AFG,2021-05-08,349.0
AFG,2021-05-09,349.0
AFG,2021-05-10,349.0
AFG,2021-05-11,349.0
AFG,2021-05-12,317.0
AFG,2021-05-13,284.0
AFG,2021-05-14,252.0
AFG,2021-05-15,219.0
AFG,2021-05-16,186.0
AFG,2021-05-17,154.0
AFG,2021-05-18,121.0
AFG,2021-05-19,121.0
AFG,2021-05-20,121.0
AFG,2021-05-21,127.0
AFG,2021-05-22,132.0
AFG,2021-05-23,137.0
AFG,2021-05-24,143.0
AFG,2021-05-25,156.0
AFG,2021-05-26,170.0
AFG,2021-05-27,163.0
AFG,2021-05-28,148.0
AFG,2021-05-29,134.0
AFG,2021-05-30,119.0
AFG,2021-05-31,128.0
AFG,2021-06-01,128.0
AFG,2021-06-02,129.0
AFG,2021-06-03,133.0
AFG,2021-06-04,132.0
AFG,2021-06-05,132.0
AFG,2021-06-06,132.0
AFG,2021-06-07,108.0
AFG,2021-06-08,85.0
AFG,2021-06-09,66.0
AFG,2021-06-10,64.0
AFG,2021-06-11,69.0
AFG,2021-06-12,73.0
AFG,2021-06-13,78.0
AFG,2021-06-14,82.0
AFG,2021-06-15,121.0
AFG,2021-06-16,155.0
AFG,2021-06-17,189.0
AFG,2021-06-18,223.0
AFG,2021-06-19,258.0
AFG,2021-06-20,292.0
AFG,2021-06-21,326.0
AFG,2021-06-22,326.0
AFG,2021-06-23,329.0
AFG,2021-06-24,333.0
AFG,2021-06-25,336.0
AFG,2021-06-26,340.0
AFG,2021-06-27,343.0
AFG,2021-06-28,358.0
AFG,2021-06-29,373.0
AFG,2021-06-30,384.0
AFG,2021-07-01,354.0
AFG,2021-07-02,325.0
AFG,2021-07-03,296.0
AFG,2021-07-04,266.0
AFG,2021-07-05,226.0
AFG,2021-07-06,198.0
AFG,2021-07-07,171.0
AFG,2021-07-08,175.0
AFG,2021-07-09,179.0
AFG,2021-07-10,183.0
AFG,2021-07-11,187.0
AFG,2021-07-12,241.0
AFG,2021-07-13,281.0
AFG,2021-07-14,322.0
AFG,2021-07-15,360.0
AFG,2021-07-16,398.0
AFG,2021-07-17,436.0
AFG,2021-07-18,474.0
AFG,2021-07-19,446.0
AFG,2021-07-20,417.0
AFG,2021-07-21,389.0
AFG,2021-07-22,372.0
AFG,2021-07-23,355.0
AFG,2021-07-24,338.0
AFG,2021-07-25,279.0
AFG,2021-07-26,238.0
AFG,2021-07-27,196.0
AFG,2021-07-28,154.0
AFG,2021-07-29,112.0
AFG,2021-07-30,70.0
AFG,2021-07-31,28.0
AFG,2021-08-01,28.0
AFG,2021-08-02,28.0
AFG,2021-08-03,28.0
AFG,2021-08-04,28.0
AFG,2021-08-05,28.0
AFG,2021-08-06,28.0
AFG,2021-08-07,28.0
AFG,2021-08-08,28.0
AFG,2021-08-09,28.0
AFG,2021-08-10,28.0
AFG,2021-08-11,28.0
AFG,2021-08-12,28.0
AFG,2021-08-13,28.0
AFG,2021-08-14,28.0
AFG,2021-08-15,28.0
AFG,2021-08-16,28.0
AFG,2021-08-17,28.0
AFG,2021-08-18,28.0
AFG,2021-08-19,28.0
AFG,2021-08-20,28.0
AFG,2021-08-21,278.0
AFG,2021-08-22,528.0
AFG,2021-08-23,777.0
AFG,2021-08-24,1027.0
AFG,2021-08-25,1277.0
AFG,2021-08-26,1527.0
AFG,2021-08-27,1776.0
AFG,2021-08-28,1776.0
AFG,2021-08-29,1776.0
AFG,2021-08-30,1776.0
AFG,2021-08-31,1776.0
AFG,2021-09-01,1569.0
AFG,2021-09-02,1362.0
AFG,2021-09-03,1155.0
AFG,2021-09-04,948.0
